date,time,count,bin,Location (recode),Location-id (recode)
27,0:09:51,1,1,SIS B1 IS Lounge,SISB1
27,0:12:13,2,2,SIS B1 IS Lounge,SISB1
27,0:14:34,3,2,SIS B1 IS Lounge,SISB1
27,0:16:56,1,2,SIS B1 IS Lounge,SISB1
27,0:19:17,1,2,SIS B1 IS Lounge,SISB1
27,0:21:39,1,3,SIS B1 IS Lounge,SISB1
27,0:24:00,1,3,SIS B1 IS Lounge,SISB1
27,0:45:15,1,5,SIS B1 IS Lounge,SISB1
27,1:39:36,1,10,SIS B1 IS Lounge,SISB1
27,1:46:41,1,11,SIS B1 IS Lounge,SISB1
27,1:53:46,2,12,SIS B1 IS Lounge,SISB1
27,1:56:08,1,12,SIS B1 IS Lounge,SISB1
27,2:03:13,1,13,SIS B1 IS Lounge,SISB1
27,2:55:13,1,18,SIS B1 IS Lounge,SISB1
27,7:47:19,1,47,SIS B1 IS Lounge,SISB1
27,7:49:19,2,47,SIS B1 IS Lounge,SISB1
27,7:51:19,3,48,SIS B1 IS Lounge,SISB1
27,7:53:19,4,48,SIS B1 IS Lounge,SISB1
27,7:55:20,3,48,SIS B1 IS Lounge,SISB1
27,7:57:20,3,48,SIS B1 IS Lounge,SISB1
27,7:59:21,4,48,SIS B1 IS Lounge,SISB1
27,8:01:20,4,49,SIS B1 IS Lounge,SISB1
27,8:03:21,1,49,SIS B1 IS Lounge,SISB1
27,8:05:21,2,49,SIS B1 IS Lounge,SISB1
27,8:07:21,1,49,SIS B1 IS Lounge,SISB1
27,8:11:22,1,50,SIS B1 IS Lounge,SISB1
27,8:15:23,3,50,SIS B1 IS Lounge,SISB1
27,8:17:23,1,50,SIS B1 IS Lounge,SISB1
27,8:19:24,3,50,SIS B1 IS Lounge,SISB1
27,8:21:24,3,51,SIS B1 IS Lounge,SISB1
27,8:23:24,2,51,SIS B1 IS Lounge,SISB1
27,8:25:25,1,51,SIS B1 IS Lounge,SISB1
27,8:27:25,1,51,SIS B1 IS Lounge,SISB1
27,8:35:27,1,52,SIS B1 IS Lounge,SISB1
27,8:37:27,1,52,SIS B1 IS Lounge,SISB1
27,8:39:28,1,52,SIS B1 IS Lounge,SISB1
27,8:41:28,2,53,SIS B1 IS Lounge,SISB1
27,8:43:29,3,53,SIS B1 IS Lounge,SISB1
27,8:45:30,3,53,SIS B1 IS Lounge,SISB1
27,8:47:30,3,53,SIS B1 IS Lounge,SISB1
27,8:49:31,1,53,SIS B1 IS Lounge,SISB1
27,8:51:31,1,54,SIS B1 IS Lounge,SISB1
27,8:53:32,2,54,SIS B1 IS Lounge,SISB1
27,8:55:32,2,54,SIS B1 IS Lounge,SISB1
27,8:57:33,5,54,SIS B1 IS Lounge,SISB1
27,8:59:33,1,54,SIS B1 IS Lounge,SISB1
27,8:59:34,3,54,SIS B1 IS Lounge,SISB1
27,9:01:34,3,55,SIS B1 IS Lounge,SISB1
27,9:03:35,3,55,SIS B1 IS Lounge,SISB1
27,9:05:35,1,55,SIS B1 IS Lounge,SISB1
27,9:07:36,2,55,SIS B1 IS Lounge,SISB1
27,9:09:36,1,55,SIS B1 IS Lounge,SISB1
27,9:09:37,1,55,SIS B1 IS Lounge,SISB1
27,9:11:37,3,56,SIS B1 IS Lounge,SISB1
27,9:13:38,3,56,SIS B1 IS Lounge,SISB1
27,9:15:39,1,56,SIS B1 IS Lounge,SISB1
27,9:17:39,2,56,SIS B1 IS Lounge,SISB1
27,9:19:40,4,56,SIS B1 IS Lounge,SISB1
27,9:21:41,4,57,SIS B1 IS Lounge,SISB1
27,9:23:41,1,57,SIS B1 IS Lounge,SISB1
27,9:23:42,3,57,SIS B1 IS Lounge,SISB1
27,9:25:42,3,57,SIS B1 IS Lounge,SISB1
27,9:27:43,2,57,SIS B1 IS Lounge,SISB1
27,9:27:44,1,57,SIS B1 IS Lounge,SISB1
27,9:29:44,4,57,SIS B1 IS Lounge,SISB1
27,9:31:45,3,58,SIS B1 IS Lounge,SISB1
27,9:33:46,4,58,SIS B1 IS Lounge,SISB1
27,9:35:46,2,58,SIS B1 IS Lounge,SISB1
27,9:35:47,1,58,SIS B1 IS Lounge,SISB1
27,9:37:47,7,58,SIS B1 IS Lounge,SISB1
27,9:39:48,2,58,SIS B1 IS Lounge,SISB1
27,9:41:49,8,59,SIS B1 IS Lounge,SISB1
27,9:43:50,5,59,SIS B1 IS Lounge,SISB1
27,9:45:51,5,59,SIS B1 IS Lounge,SISB1
27,9:47:51,5,59,SIS B1 IS Lounge,SISB1
27,9:49:52,1,59,SIS B1 IS Lounge,SISB1
27,9:49:53,4,59,SIS B1 IS Lounge,SISB1
27,9:51:53,7,60,SIS B1 IS Lounge,SISB1
27,9:53:54,5,60,SIS B1 IS Lounge,SISB1
27,9:55:55,6,60,SIS B1 IS Lounge,SISB1
27,9:57:56,7,60,SIS B1 IS Lounge,SISB1
27,9:59:57,8,60,SIS B1 IS Lounge,SISB1
27,10:01:58,6,61,SIS B1 IS Lounge,SISB1
27,10:03:59,5,61,SIS B1 IS Lounge,SISB1
27,10:06:00,4,61,SIS B1 IS Lounge,SISB1
27,10:08:01,3,61,SIS B1 IS Lounge,SISB1
27,10:10:02,6,62,SIS B1 IS Lounge,SISB1
27,10:12:03,4,62,SIS B1 IS Lounge,SISB1
27,10:14:04,2,62,SIS B1 IS Lounge,SISB1
27,10:16:06,3,62,SIS B1 IS Lounge,SISB1
27,10:18:06,1,62,SIS B1 IS Lounge,SISB1
27,10:18:07,4,62,SIS B1 IS Lounge,SISB1
27,10:20:08,4,63,SIS B1 IS Lounge,SISB1
27,10:22:09,3,63,SIS B1 IS Lounge,SISB1
27,10:24:10,4,63,SIS B1 IS Lounge,SISB1
